가게,주소,도로명주소,경도,위도
메가박스 성수,성수동1가 656-335,서울 성동구 왕십리로 50 메가박스 스퀘어 3층,127.0449101,37.5418858
CGV 청담씨네시티,신사동 651-21,서울 강남구 도산대로 323,127.0370226,37.52289929
CGV 용산아이파크몰,한강로3가 40-999,서울 용산구 한강대로23길 55 아이파크몰 6층,126.964861,37.52982602
CGV 영등포,영등포동4가 442,서울 영등포구 영중로 15 타임스퀘어 4~7층,126.903642,37.51721812
CGV 신촌아트레온,창천동 20-25,서울 서대문구 신촌로 129 아트레온 2층,126.9402758,37.55656601
CGV 피카디리1958,돈의동 137,서울 종로구 돈화문로5가길 1 지하2층,126.9912459,37.57103537
CGV 건대입구,자양동 9-4,서울 광진구 아차산로30길 26 몰오브케이 3층,127.0668922,37.53974999
CGV 압구정,신사동 602,서울 강남구 압구정로30길 45,127.0293854,37.52432096
CGV 여의도,여의도동 23-1,서울 영등포구 국제금융로 10 국제금융센터 지하3층,126.9258982,37.52503376
메가박스 신촌,신촌동 74-12,서울 서대문구 신촌역로 30 밀레오레 5층,126.9424096,37.55980026
메가박스 동대문,을지로6가 18-221,서울 중구 장충단로 247 굿모닝시티 9층,127.0073561,37.56680268
CGV 강남,역삼동 814-6,서울 강남구 강남대로 438 스타플렉스,127.0263643,37.50161333
CGV 구로,구로동 573,서울 구로구 구로중앙로 152,126.8827843,37.5011494
메가박스 홍대,동교동 160-4,서울 마포구 양화로 147 아일렉스 7층,126.922052,37.55604835
메가박스 목동,목동 917-6,서울 양천구 목동동로 309 행복한세상백화점 6층,126.8759854,37.52920737
CGV 홍대,동교동 159-8,서울 마포구 양화로 153 4층,126.9226133,37.55648911
메가박스 강남,서초동 1317-20,서울 서초구 서초대로77길 3 아라타워 8층,127.0265112,37.49806741
메가박스 코엑스,삼성동 159,서울 강남구 영동대로 513 코엑스몰 지하1층,127.0591223,37.51186417
롯데시네마 월드타워,신천동 29,서울 송파구 올림픽로 300 롯데월드몰 엔터테인먼트동 5~11층,127.104302,37.51372598
CGV 왕십리,행당동 168-151,서울 성동구 왕십리광장로 17 민자역사 5층,127.0383836,37.56126547
메가박스 송파파크하비오,문정동 618,서울 송파구 송파대로 111 파크하비오푸르지오 204동 지하1층,127.1235143,37.48200926
메가박스 이수,사당동 147-98,서울 동작구 동작대로 89 골든시네마타워 7층,126.9816851,37.48463884
CGV 천호,천호동 42,서울 강동구 양재대로 1571 홈플러스 4층,127.142249,37.54568914
CGV 수유,수유동 168-12,서울 강북구 도봉로 399,127.0298048,37.64240706
메가박스 마곡,마곡동 797-1,서울 강서구 공항대로 247 퀸즈나인 B동 4층,126.8349076,37.55930929
CGV 강변,구의동 546-4,서울 광진구 광나루로56길 85 테크노마트 10층,127.095742,37.53563986
CGV 동대문,을지로6가 17-2,서울 중구 장충단로13길 20 현대시티아울렛 동대문점 내,127.007651,37.56873591
CGV 명동,명동2가 83-5,서울 중구 명동길 14 눈스퀘어 8층,126.9837297,37.56513579
CGV 상봉,상봉동 501,서울 중랑구 상봉로 131 상봉듀오트리스 지하2층,127.0922043,37.59736204
메가박스 상봉,상봉동 130-3,서울 중랑구 망우로30길 3,127.0747566,37.59306852
롯데시네마 건대입구,자양동 227-7,서울 광진구 아차산로 272 스타시티 2층,127.0730372,37.53854294
메가박스 화곡,화곡동 1073-10,서울 강서구 화곡로 142 메가스퀘어 4층,126.8375641,37.54057432
메가박스 군자,군자동 477-12,서울 광진구 능동로 289,127.0783477,37.55577815
롯데시네마 용산,한강로3가 16-9,서울 용산구 청파로 74 용산전자랜드 4~5층,126.9589574,37.53270992
CGV 송파,문정동 634,서울 송파구 충민로 66 가든파이브 라이프 영관 10층,127.1251168,37.47771921
메가박스 강남대로씨티,역삼동 816,서울 강남구 강남대로 422 씨티빌딩,127.0269803,37.50038961
메가박스 창동,창동 715-14,서울 도봉구 도봉로 558 1층,127.0387035,37.6546026
메가박스 강동,성내동 549-2,서울 강동구 성내로 48,127.1253718,37.52843403
메가박스 상암월드컵경기장,성산동 515-25,서울 마포구 월드컵로 240 월드컵몰 1층,126.8972549,37.5684199
CGV 미아,미아동 35-4,서울 강북구 도봉로 34 트레지오쇼핑몰 9층,127.0307355,37.61206973
CGV 목동,목동 916,서울 양천구 목동동로 257 현대백화점 지하2층,126.874474,37.52650318
롯데시네마 강동,성내동 44-1,서울 강동구 천호옛길 85,127.1253601,37.53664946
롯데시네마 홍대입구,동교동 166-9,서울 마포구 양화로 176 와이즈파크 8~10층,126.9249125,37.55723328
CGV 중계,중계동 509-2,서울 노원구 동일로204가길 12 홈플러스 8층,127.0686675,37.63986017
롯데시네마 수유,번동 449-1,서울 강북구 도봉로 308 10~14층,127.0238368,37.63566366
메가박스 아트나인,사당동 147-97,서울 동작구 동작대로 89 골든시네마타워 12층,126.9816851,37.48463884
CGV 성신여대입구,동선동1가 1-2,서울 성북구 동소문로 106 11층,127.0171119,37.59258321
메가박스 센트럴,반포동 19-3,서울 서초구 신반포로 176 센트럴시티빌딩 지하 1층,127.004385,37.50465963
CGV 불광,대조동 240,서울 은평구 불광로 20 팜스퀘어 11층,126.928925,37.60971407
롯데시네마 가양,등촌동 73-1,서울 강서구 양천로 476 아름다운아울렛 5층,126.8532751,37.56159926
롯데시네마 브로드웨이,논현동 3-5,서울 강남구 도산대로8길 8,127.0219481,37.51637552
롯데시네마 김포공항,방화동 886,서울 강서구 하늘길 지하 77 4층,126.8029613,37.56681753
롯데시네마 신림,신림동 1641-2,서울 관악구 신림로 330 포도몰 10층,126.9302435,37.483853
CGV 하계,중계동 506-1,서울 노원구 섬밭로 258 건영백화점 지하1층,127.0649148,37.63911022
롯데시네마 노원,상계동 713,서울 노원구 동일로 1414 롯데백화점 10층,127.0611262,37.65499511
CGV씨네드쉐프 압구정,신사동 602,서울 강남구 압구정로30길 45 CGV압구정신관 지하 5층,127.0293854,37.52432096
롯데시네마 에비뉴엘,소공동 7,서울 중구 남대문로 73,126.9816373,37.56420455
롯데시네마 도곡,도곡동 174-3,서울 강남구 남부순환로 2753,127.0469481,37.48745958
롯데시네마 가산디지털,가산동 60-8,서울 금천구 디지털로10길 9 하이힐아울렛 8층,126.8890886,37.47759216
롯데시네마 서울대입구,봉천동 862-1,서울 관악구 남부순환로 1820 10층,126.9520493,37.48095662
롯데시네마 독산,독산동 291-5,서울 금천구 시흥대로 399 시티렉스 6층,126.8968686,37.4693998
롯데시네마 합정,서교동 490,서울 마포구 양화로 45,126.9142006,37.55076126
CGV 압구정 본관,신사동 603-2,서울 강남구 논현로 848,127.0287921,37.52457166
롯데시네마 중랑,묵동 234-1,서울 중랑구 동일로 951,127.0760473,37.61516028
롯데시네마 영등포,영등포동 618-496,서울 영등포구 경인로 846 시네마동 7~9층,126.9075319,37.51561768
롯데시네마 신도림,신도림동 692,서울 구로구 경인로 662 디큐브시티 7층,126.8882079,37.5081329
CGV 홍대입구역(2021년3월예정),,서울 마포구 동교동 167-12,126.8882079,37.5081329
롯데시네마 청량리,전농동 588-1,서울 동대문구 왕산로 214,127.0503634,37.57974595
롯데시네마 장안,장안동 368-1,서울 동대문구 답십리로 288 아트몰링 장안점 11층,127.0723523,37.57193063
CGV 씨네드쉐프 용산아이파크몰,한강로3가 40-999,서울 용산구 한강대로23길 55 아이파크몰 6층,126.964861,37.52982602
롯데시네마 은평,진관동 79-31,서울 은평구 통일로 1050 롯데몰 5층,126.917855,37.63750255
롯데시네마 수락산,상계동 1132-35,서울 노원구 동일로 1660,127.0556659,37.67657816
CGV 서초그랑자이(2021년6월예정),,서울 서초구 서초동 1335,127.0556659,37.67657816
CGV 방학(2021년9월예정),방학동 707-14,서울 도봉구 도봉로 684,127.0434967,37.66540636
CGV 고덕(2024년예정),,서울 강동구 고덕동 353-13,127.0434967,37.66540636
대한극장,필동2가 19-1,서울 중구 퇴계로 212,126.9953447,37.56108492
롯데시네마 상암(2025년오픈예정),,서울 마포구 상암동 1625,126.9953447,37.56108492
롯데시네마 신대방(2022년5월예정),신대방동 686-48,서울 동작구 시흥대로 606,126.904742,37.48626491
서울극장,관수동 59-7,서울 종로구 돈화문로 13,126.9916287,37.56968895
씨네큐브 광화문점,신문로1가 226,서울 종로구 새문안로 68 흥국생명빌딩 지하 2층,126.9721239,37.56964823
씨네Q 신도림,구로동 3-25,서울 구로구 새말로 97 신도림테크노마트 11~14층,126.8901507,37.50706722
필름포럼,대신동 85-1,서울 서대문구 성산로 527 하늬솔빌딩 A동 지하1층,126.944068,37.56377854
더숲아트시네마,상계동 727-1,서울 노원구 노해로 480 조광빌딩 지하1/2층,127.0614291,37.65418164
인디스페이스,관수동 72-1,서울 종로구 돈화문로 13 1층,126.9916287,37.56968895
아리랑시네센터 아리랑인디웨이브,정릉동 113-32,서울 성북구 아리랑로 82,127.0138921,37.60011337
서울아트시네마,관수동 59-7,서울 종로구 돈화문로 13,126.9916287,37.56968895
명보아트시네마,초동 18-5,서울 중구 마른내로 47 명보아트홀 6층,126.9932278,37.56469274
라이카시네마,연희동 194-25,서울 서대문구 연희로8길 18,126.9309337,37.56516762
이봄씨어터,신사동 532-1,서울 강남구 압구정로10길 9 대원빌딩 지하 2층,127.0220307,37.52298497
씨네Q 성신여대입구,동선동1가 1-2,서울 성북구 동소문로 106 11층,127.0171119,37.59258321
KU시네마테크,화양동 1,서울 광진구 능동로 120 건국대학교 예술문화대학 지하 108호,127.0804448,37.5401959
바다극장,예지동 222,서울 종로구 청계천로 187,126.998503,37.56934848
아트하우스모모,,서울 서대문구 대현동 11-1 이화여대 ECC 지하 4층 402호,126.998503,37.56934848
시네마테크KOFA,상암동 1602,서울 마포구 월드컵북로 400 DMC단지 한국영상자료원,126.8898729,37.58048235
실버영화관,낙원동 284-6,서울 종로구 삼일대로 428 낙원빌딩 4층,126.9880422,37.57277149
KT&G 상상마당시네마,서교동 367-5,서울 마포구 어울마당로 65 지하4층,126.921065,37.55096013
청춘극장,충정로1가 68,서울 중구 새문안로 22 문화일보홀 1층,126.9686286,37.56712402
자체휴강시네마,봉천동 180-531,서울 관악구 인헌12길 42 지하1층,126.9650445,37.47078283
명작극장,염곡동 180-2,서울 서초구 염곡말길 9 느티나무쉽터 3층,127.0511869,37.46194302
쇼타임즈,여의도동 44-28,서울 영등포구 여의대방로65길 20 호성빌딩 신관 지하2층,126.9295103,37.520219
해오름소극장,명륜2가 21-1,서울 종로구 창경궁로 260,127.0005504,37.58442826
모두의 극장,낙원동 284-6,서울 종로구 삼일대로 428 낙원악기상가 5층,126.9880422,37.57277149
모노플렉스,성수동2가 272-42,서울 성동구 뚝섬로17가길 56 5층,127.0595232,37.54095826
청춘극장,공릉동 87-7,서울 노원구 노원로1길 68,127.0834023,37.62129264
하늘채시네마,장위동 319,서울 성북구 돌곶이로 220,127.0458453,37.61971541
THE 픽쳐스,신사동 532-1,서울 강남구 압구정로10길 9 대원빌딩 지하 2층,127.0220307,37.52298497
시네마차이나 서울,혜화동 163-24,서울 종로구 대학로14길 29,127.002265,37.58461939
건영스포렉스,중계동 506-1,서울 노원구 섬밭로 258,127.0649148,37.63911022
마실영화관,성산동 370,서울 마포구 월드컵로 212 마포구청 2층,126.9014736,37.56626566
서울시네마테크(2022년예정),초동 64-11,서울 중구 마른내로 38,126.9921253,37.56417977
조이 영화관,신림동 1433-45,서울 관악구 남부순환로 1603 3층,126.9287968,37.48443455
디지털팝콘 DVD영화관,화곡동 898-16,서울 강서구 강서로 21,126.8475309,37.52988015
동부DVD존 DVD영화관,상봉동 130-130,서울 중랑구 망우로32길 14,127.0764542,37.59323918
로드쇼영화관,노량진동 126-14,서울 동작구 만양로18길 14 2층,126.945003,37.51302823
팝스DVD영화관,동자동 43-50,서울 용산구 한강대로 401-2,126.9722864,37.55421961
씨네마DVD영화관,미아동 35-1,서울 강북구 도봉로6길 8,127.0306441,37.61253535
DVD영화관,목동 611-4,서울 양천구 목동중앙북로 13-1,126.865154,37.54856485
WDVD영화관,월계동 55-14,서울 노원구 석계로1길 14 5층,127.0639144,37.61555898
영화관포차,구로동 30-36,서울 구로구 새말로16길 23 지하1층,126.8909062,37.50462458
디지털DVD영화관,역삼동 619-26,서울 강남구 테헤란로1길 40,127.0272653,37.50091269
석계DVD영화관,월계동 46-13,서울 노원구 화랑로 335,127.0649842,37.61510118
아이러브DVD영화관,봉천동 864-1,서울 관악구 관악로 155,126.9520827,37.47916709
필란디아DVD영화관,신당동 374-27,서울 중구 다산로 129,127.0107286,37.55543451
씨네원디브이디 영화관,등촌동 674,서울 강서구 강서로 380 세민빌딩 8층,126.8390625,37.55941941
더T디지털 DVD로딩영화관,남현동 1061-27,서울 관악구 과천대로 951,126.9812702,37.47553434
영화관풋잠,휘경동 146-66,서울 동대문구 외대역동로4길 48,127.0684741,37.59303643
스타맥스 DVD영화관,미아동 55-5,서울 강북구 도봉로8길 35,127.0321041,37.61223893
멀티비디오영화관,갈현동 399-19,서울 은평구 연서로29길 8-15,126.9196587,37.61941544
VIP영화관,명륜4가 12-3,서울 종로구 대명길 17,127.0006034,37.58328469
멀티플렉스영화관,창천동 52-22,서울 서대문구 연세로9길 10-1 3층,126.9361809,37.55862934
M&GDVD영화관 강변역점,구의동 546-11,서울 광진구 강변역로4길 10,127.0933904,37.53534164
맥스DVD영화관,중계동 154-17,서울 노원구 덕릉로83길 20-5,127.0742785,37.66035267
칸디비디영화관,신림동 1655-19,서울 관악구 시흥대로 558,126.9017972,37.48267782
ROCKDVD영화관,남현동 1062-15,서울 관악구 남현1길 58,126.9805958,37.47575039
영화관 개방화장실,성산동 515-26,서울 마포구 월드컵로 240,126.8972549,37.5684199
작은영화관 사회적협동조합,,서울 금천구 가산동 371-17 BYC 하이시티 B동 703호,126.8972549,37.5684199
한국시네마테크협의회,관수동 59-7,서울 종로구 돈화문로 13,126.9916287,37.56968895
포스시네마,필동1가 43-1,서울 중구 퇴계로 189,126.9929828,37.56144896
합동영화,관수동 71,서울 종로구 돈화문로 13,126.9916287,37.56968895
청계극장 매점,창신동 436-1,서울 종로구 종로50다길 20,127.0117889,37.57028495
킴스컴퍼니,신천동 7-14,서울 송파구 올림픽로35가길 10,127.1026331,37.51694025
갈현제2동주민센터 문화마을영화관,갈현동 502-3,서울 은평구 연서로27길 31-6,126.915803,37.61851056
